Element,Name,Ka1,Ka2,Kb1,La1,La2,Lb1,Lb2,Lg1,Ma1
Ti,titanium,4510.84,4504.86,4931.81,452.2,452.2,458.4,-,-,-
V,vanadium,4952.2,4944.64,5427.29,511.3,511.3,519.2,-,-,-
Cr,chromium,5414.72,5405.509,5946.71,572.8,572.8,582.8,-,-,-
Mn,manganese,5898.75,5887.65,6490.45,637.4,637.4,648.8,-,-,-
Fe,iron,6403.84,6390.84,7057.98,705,705,718.5,-,-,-
Co,cobalt,6930.32,6915.3,7649.43,776.2,776.2,791.4,-,-,-
Ni,nickel,7478.15,7460.89,8264.66,851.5,851.5,868.8,-,-,-
Cu,copper,8047.78,8027.83,8905.29,929.7,929.7,949.8,-,-,-
Zn,zinc,8638.86,8615.78,9572,1011.7,1011.7,1034.7,-,-,-
Se,selenium,11222.4,11181.4,12495.9,1379.1,1379.1,1419.23,-,-,-
Zr,zirconium,15775.1,15690.9,17667.8,2042.36,2039.9,2124.4,2219.4,2302.7,-
Nb,niobium,16615.1,16521,18622.5,2165.89,2163,2257.4,2367,2461.8,-
Mo,molydenum,17479.34,17374.3,19608.3,2293.16,2289.85,2394.81,2518.3,2623.5,-
Ru,rubidium,19279.2,19150.4,21656.8,2558.55,2554.31,2683.23,2836,2964.5,-
Pd,palladium,21177.1,21020.1,23818.7,2838.61,2833.29,2990.22,3171.79,3328.7,-
Ag,silver,22162.92,21990.3,24942.4,2984.31,2978.21,3150.94,3347.81,3519.59,-
Sn,tin,25271.3,25044,28486,3443.98,3435.42,3662.8,3904.86,4131.12,-
Sb,antimony,26359.1,26110.8,29725.6,3604.72,3595.32,3843.57,4100.78,4347.79,-
Ta,tantalum,57532,56277,65223,8146.1,8087.9,9343.1,9651.8,10895.2,1710
Pt,platinum,66832,65112,75748,9442.3,9361.8,11070.7,11250.5,12942,2050.5
Au,gold,68803.7,66989.5,77984,9713.3,9628,11442.3,11584.7,13381.7,2122.9
Pb,lead,74969.4,72804.2,84936,10551.5,10449.5,12613.7,12622.6,14764.4,2345.5
